time,deviceName,message_type,payload_type,encoding,event_code,event,flags_raw,transition,severity,measurement_calibration,transition_start,transition_end,utc_time_valid,measurement_valid,calibrated,backlog,coalesced,queue_overflow,event_time_unix_s,event_time_iso,event_age_s,event_time_basis,duration_s,duration_saturated,extreme_value,threshold_value,value_unit,extreme_voltage_v,threshold_voltage_v,extreme_frequency_hz,threshold_frequency_hz,sequence,sequence_lsb,occurrences,detail_fields_omitted,gatewayName,gatewayId,rssi,snr
2026-07-24 09:42:08,PrimerTest,power_quality_event,17.0,full,18.0,voltage_interruption,13.0,start,3.0,provisional,True,False,True,True,False,False,False,False,1784904127.0,2026-07-24T14:42:07.000Z,,utc,0.0,False,1.7000000000000002,12.0,V,1.7000000000000002,12.0,,,2.0,,1.0,,GatewayELII,00005813d369a0ef,-95,9.0
2026-07-24 10:48:34,PrimerTest,power_quality_event,17.0,full,1.0,boot,33.0,start,0.0,provisional,True,False,False,False,False,True,False,False,,,33.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-118,10.8
2026-07-24 10:49:15,PrimerTest,power_quality_event,17.0,full,1.0,boot,1.0,start,0.0,provisional,True,False,False,False,False,False,False,False,,,6.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-112,9.8
2026-07-24 10:49:56,PrimerTest,power_quality_event,17.0,full,18.0,voltage_interruption,41.0,start,3.0,provisional,True,False,False,True,False,True,False,False,,,35.0,age_at_uplink,0.0,False,0.1,12.0,V,0.1,12.0,,,2.0,,1.0,,GatewayELII,00005813d369a0ef,-91,7.5
2026-07-24 10:50:22,PrimerTest,power_quality_event,17.0,full,1.0,boot,1.0,start,0.0,provisional,True,False,False,False,False,False,False,False,,,15.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-114,9.0
2026-07-24 10:51:35,PrimerTest,power_quality_event,17.0,full,1.0,boot,33.0,start,0.0,provisional,True,False,False,False,False,True,False,False,,,31.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-111,10.2
2026-07-24 12:03:23,PrimerTest,power_quality_event,17.0,full,1.0,boot,1.0,start,0.0,provisional,True,False,False,False,False,False,False,False,,,14.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-111,11.2
2026-07-24 12:03:55,PrimerTest,power_quality_event,17.0,full,18.0,voltage_interruption,41.0,start,3.0,provisional,True,False,False,True,False,True,False,False,,,45.0,age_at_uplink,0.0,False,0.1,12.0,V,0.1,12.0,,,2.0,,1.0,,GatewayELII,00005813d369a0ef,-78,10.0
2026-07-24 16:29:50,PrimerTest,power_quality_event,17.0,full,1.0,boot,1.0,start,0.0,provisional,True,False,False,False,False,False,False,False,,,19.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-109,9.2
2026-07-24 16:33:34,PrimerTest,power_quality_event,17.0,full,1.0,boot,1.0,start,0.0,provisional,True,False,False,False,False,False,False,False,,,6.0,age_at_uplink,0.0,False,,,raw_count,,,,,1.0,,1.0,,GatewayELII,00005813d369a0ef,-84,9.0
