time,deviceName,message_type,payload_type,encoding,flags_raw,sequence,voltage_calibration,current_and_power_calibration,utc_time_valid,coverage_at_least_95_percent,ade_measurements_valid,voltage_calibrated,frequency_window_valid,current_calibrated,fundamental_measurement_valid,queued_or_backlogged,interval_end_unix_s,interval_end_iso,interval_end_uptime_s,interval_end_not_transmitted,coverage_permille,coverage_percent,voltage_rms_v,voltage_rms_min_v,voltage_rms_max_v,frequency_hz,frequency_min_hz,frequency_max_hz,current_rms_a,active_power_w,reactive_power_var,apparent_power_va,active_energy_wh,reactive_energy_varh,apparent_energy_vah,power_factor,voltage_thd_percent,voltage_thd_max_percent,current_thd_percent,current_thd_max_percent,temperature_c,event_count,worst_event_code,worst_event,gatewayName,gatewayId,rssi,snr
2026-08-07 00:00:08,PrimerTest,power_quality_summary,16.0,extended,87.0,1909.0,provisional,provisional,True,True,True,False,True,False,True,False,1786078800.0,2026-08-07T05:00:00.000Z,,,1000.0,100.0,122.8,122.5,123.2,60.008,59.965,60.042,0.44,30,-5,54,5.0,-0.9,9.0,0.557,1.54,2.07,143.72,155.87,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,9.5
2026-08-07 00:10:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1910.0,provisional,provisional,True,True,True,False,True,False,True,False,1786079400.0,2026-08-07T05:10:00.000Z,,,999.0,99.9,122.9,122.6,123.3,59.995,59.954,60.043,0.44,30,-5,54,5.0,-0.9,9.0,0.5569,1.46,2.14,144.08,151.11,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,7.5
2026-08-07 00:30:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1912.0,provisional,provisional,True,True,True,False,True,False,False,False,1786080600.0,2026-08-07T05:30:00.000Z,,,1000.0,100.0,123.1,122.8,123.4,59.998,59.966,60.023,0.44,30,-5,54,5.0,-0.8,9.0,0.5561,1.48,2.13,144.52,147.42,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,9.2
2026-08-07 00:40:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1913.0,provisional,provisional,True,True,True,False,True,False,True,False,1786081200.0,2026-08-07T05:40:00.000Z,,,1000.0,100.0,123.2,122.9,123.5,60.011,59.963,60.038,0.44,30,-5,54,5.0,-0.9,9.1,0.5556,1.44,2.01,144.58,148.17,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-87,9.5
2026-08-07 00:50:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1914.0,provisional,provisional,True,True,True,False,True,False,True,False,1786081800.0,2026-08-07T05:50:00.000Z,,,1000.0,100.0,123.5,123.1,123.8,60.001,59.959,60.042,0.44,30,-5,54,5.0,-0.9,9.1,0.5551,1.46,2.08,144.74,151.57,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,9.0
2026-08-07 01:00:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1915.0,provisional,provisional,True,True,True,False,True,False,False,False,1786082400.0,2026-08-07T06:00:00.000Z,,,1000.0,100.0,123.6,123.2,123.9,60.003,59.966,60.043,0.44,30,-5,54,5.0,-0.9,9.0,0.556,1.47,2.11,144.43,147.52,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-90,9.8
2026-08-07 01:10:04,PrimerTest,power_quality_summary,16.0,extended,87.0,1916.0,provisional,provisional,True,True,True,False,True,False,True,False,1786083000.0,2026-08-07T06:10:00.000Z,,,1000.0,100.0,123.6,123.2,123.9,60.007,59.97,60.042,0.44,30,-5,55,5.0,-0.9,9.2,0.55,1.51,2.25,146.85,154.69,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-90,10.0
2026-08-07 01:20:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1917.0,provisional,provisional,True,True,True,False,True,False,True,False,1786083600.0,2026-08-07T06:20:00.000Z,,,999.0,99.9,123.7,123.4,124.0,59.998,59.956,60.035,0.44,30,-6,55,5.0,-0.9,9.1,0.5533,1.57,2.14,144.76,148.38,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,9.5
2026-08-07 01:30:03,PrimerTest,power_quality_summary,16.0,extended,23.0,1918.0,provisional,provisional,True,True,True,False,True,False,False,False,1786084200.0,2026-08-07T06:30:00.000Z,,,1000.0,100.0,123.6,123.1,124.2,60.0,59.964,60.039,0.44,30,-5,54,5.0,-0.9,9.0,0.554,1.43,2.68,145.26,148.25,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-89,10.0
2026-08-07 01:40:03,PrimerTest,power_quality_summary,16.0,extended,87.0,1919.0,provisional,provisional,True,True,True,False,True,False,True,False,1786084800.0,2026-08-07T06:40:00.000Z,,,1000.0,100.0,123.6,123.2,123.9,60.015,59.985,60.046,0.44,30,-5,55,5.0,-0.9,9.1,0.5534,1.38,1.93,145.45,148.69,27,0.0,0.0,none,GatewayELIIDobleBanda07,00005813d369a095,-88,9.8
