time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-03-04 00:02:03,NODO 1.29,26.14,72.82,1004.0,3729.0,0,-107,9.0
2026-03-04 00:02:20,NODO 1.7,26.4,71.55,1005.0,4047.0,0,-111,5.3
2026-03-04 00:02:21,NODO 1.7,26.42,71.61,1005.0,4047.0,0,-111,2.5
2026-03-04 00:04:46,NODO 1.2,26.35,79.9,1004.0,3891.0,0,-98,12.5
2026-03-04 00:05:34,NODO 1.20,26.76,75.08,1005.0,3744.0,0,-105,9.3
2026-03-04 00:08:11,NODO 1.13,26.44,70.7,1004.0,3758.0,0,-106,6.3
2026-03-04 00:08:36,NODO 1.32,26.86,82.53,1004.0,3949.0,0,-106,9.5
2026-03-04 00:08:37,NODO 1.32,26.88,82.51,1004.0,3949.0,0,-108,8.0
2026-03-04 00:08:44,NODO 1.6,25.59,74.58,1005.0,3636.0,0.9,-91,14.0
2026-03-04 00:09:33,NODO 1.24,25.55,74.58,1004.0,3739.0,0.5,-116,-2.0
2026-03-04 00:09:45,NODO 1.15,25.92,78.9,1006.0,3621.0,0,-115,-0.3
2026-03-04 00:10:08,NODO 1.23,25.98,73.19,1004.0,3959.0,0,-116,-2.8
2026-03-04 00:11:08,NODO 1.30,26.01,76.21,1005.0,4092.0,3.3,-117,-4.0
2026-03-04 00:11:17,NODO 1.25,25.74,72.33,1005.0,3778.0,0,-112,3.5
2026-03-04 00:11:46,NODO 1.11,26.29,71.7,1003.0,4008.0,0,-103,10.8
2026-03-04 00:13:37,NODO 1.19,25.27,62.74,1005.0,3856.0,0,-90,13.3
2026-03-04 00:16:47,NODO 1.21,26.09,70.92,1005.0,3646.0,0,-116,-3.8
2026-03-04 00:18:01,NODO 1.3,26.39,69.81,1005.0,3636.0,0,-96,12.5
2026-03-04 00:18:15,NODO 1.22,26.53,71.54,1004.0,3778.0,0,-101,9.8
2026-03-04 00:18:53,NODO 1.28,26.57,77.96,1005.0,4052.0,0,-106,9.0
2026-03-04 00:19:46,NODO 1.8,26.3,78.19,1004.0,3881.0,0,-104,9.8
2026-03-04 00:22:14,NODO 1.5,22.1,53.51,1003.0,3675.0,0,-115,-4.0
2026-03-04 00:22:28,NODO 1.1,25.61,73.82,1004.0,3680.0,0,-107,8.5
2026-03-04 00:24:03,NODO 1.17,26.07,69.07,1004.0,3822.0,0,-89,13.8
2026-03-04 00:24:43,NODO 1.18,26.3,77.68,1004.0,3900.0,0,-90,13.5
2026-03-04 00:31:58,NODO 1.29,26.07,73.0,1003.0,3729.0,0,-102,11.0
2026-03-04 00:32:16,NODO 1.7,26.23,72.19,1004.0,4047.0,0,-111,4.0
2026-03-04 00:34:37,NODO 1.2,26.26,79.56,1004.0,3891.0,0,-109,5.5
2026-03-04 00:35:28,NODO 1.20,26.64,75.91,1005.0,3739.0,0,-107,8.5
2026-03-04 00:38:08,NODO 1.13,26.36,71.05,1004.0,3753.0,0,-112,3.0
2026-03-04 00:38:29,NODO 1.32,26.77,83.17,1004.0,3949.0,0,-111,5.0
2026-03-04 00:38:40,NODO 1.6,25.5,74.73,1004.0,3636.0,0,-88,12.0
2026-03-04 00:39:32,NODO 1.24,25.45,75.67,1004.0,3744.0,0,-116,-6.3
2026-03-04 00:39:40,NODO 1.15,25.78,79.76,1005.0,3621.0,0,-116,-3.0
