time,deviceName,meterSerialNumber_tag,totalFordwardFlow,instantFlow,Vbat,time_meter_unix,time_meter_str,rssi,snr
2026-08-18 11:41:09,mt-08-b-33430226,33430226,0.429,0.0,3.62,1787053260000.0,2026-08-18 11:41:00,-85,10.2
2026-08-18 11:47:08,mt-08-b-33430247,33430247,0.035,0.0,3.32,1787053620000.0,2026-08-18 11:47:00,-101,9.2
2026-08-18 11:49:10,mt-08-b-33430234,33430234,0.033,0.0,3.46,1787053740000.0,2026-08-18 11:49:00,-90,9.2
2026-08-18 11:51:09,mt-08-b-33430251,33430251,0.041,0.0,3.42,1787053860000.0,2026-08-18 11:51:00,-101,9.5
2026-08-18 11:52:25,mt-b-08-33430397,33430397,0.221,0.0,3.68,1787053920000.0,2026-08-18 11:52:00,-102,9.0
2026-08-18 11:54:15,mt-08-b-33430254,33430254,0.058,0.0,3.68,1787054040000.0,2026-08-18 11:54:00,-101,10.0
2026-08-18 11:56:07,mt-08-b-33430226,33430226,0.429,0.0,3.62,1787054160000.0,2026-08-18 11:56:00,-87,9.2
2026-08-18 12:01:14,mt-08-b-33430231,33430231,0.425,0.0,3.5,1787054460000.0,2026-08-18 12:01:00,-108,6.0
2026-08-18 12:02:04,mt-08-b-33430247,33430247,0.035,0.0,3.32,1787054520000.0,2026-08-18 12:02:00,-97,9.5
2026-08-18 12:03:26,mt-08-l-32862703,32862703,0.466,0.0,3.68,1787054580000.0,2026-08-18 12:03:00,-106,7.2
2026-08-18 12:09:10,mt-08-b-33430254,33430254,0.058,0.0,3.68,1787054940000.0,2026-08-18 12:09:00,-97,10.0
2026-08-18 12:11:04,mt-08-b-33430226,33430226,0.429,0.0,3.62,1787055060000.0,2026-08-18 12:11:00,-87,9.8
