windowStart,windowEnd,sampleCount,gatewayId,deviceName,accXRMS_min,accYRMS_min,accZRMS_min,temperature_min,humidity_min,bvoc_min,iaq_min,anomaly_min,classConfidence_min,accXRMS_avg,accYRMS_avg,accZRMS_avg,temperature_avg,humidity_avg,bvoc_avg,iaq_avg,anomaly_avg,classConfidence_avg,accXRMS_max,accYRMS_max,accZRMS_max,temperature_max,humidity_max,bvoc_max,iaq_max,anomaly_max,classConfidence_max,dominantLabel,labelCounts
2026-08-02 23:52:03,2026-08-03 00:02:02,489,OPTA,NICLABH1,0.0051,0.0532,0.9968,31.25,51.15,0.48,240.0,-1.853,0.996,0.00549,0.05352,0.99728,31.26135,51.17644,0.50959,287.09611,-1.2785,0.996,0.0059,0.054,0.9978,31.27,51.2,0.52,330.0,-0.161,0.996,Motor_apagado,Motor_apagado:489
2026-08-03 00:02:03,2026-08-03 00:12:01,487,OPTA,NICLABH1,0.0051,0.0532,0.9971,31.22,50.16,0.48,250.0,-1.904,0.996,0.0057,0.0535,0.99729,31.24136,51.17341,0.50513,275.44148,-1.28139,0.996,0.0061,0.054,0.9976,31.26,51.2,0.52,320.0,-0.646,0.996,Motor_apagado,Motor_apagado:487
2026-08-03 00:12:03,2026-08-03 00:22:02,488,OPTA,NICLABH1,0.0051,0.053,0.9968,31.2,50.17,0.48,250.0,-1.912,0.996,0.00568,0.05352,0.99727,31.22197,51.15633,0.51641,312.13115,-1.28148,0.996,0.0061,0.054,0.9976,31.24,51.2,0.53,380.0,-0.72,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 00:22:04,2026-08-03 00:32:02,488,OPTA,NICLABH1,0.0054,0.053,0.9968,31.16,50.15,0.48,250.0,-2.001,0.996,0.00573,0.05341,0.99719,31.17838,51.11098,0.50734,279.69262,-1.26947,0.996,0.0061,0.054,0.9976,31.2,51.2,0.52,330.0,0.373,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 00:32:04,2026-08-03 00:42:03,488,OPTA,NICLABH1,0.0051,0.053,0.9968,31.15,50.15,0.5,260.0,-1.801,0.996,0.00577,0.05329,0.99717,31.17027,50.97555,0.52143,322.84836,-1.26768,0.996,0.0063,0.0537,0.9976,31.19,51.2,0.57,430.0,0.464,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 00:42:05,2026-08-03 00:52:03,488,OPTA,NICLABH1,0.0051,0.053,0.9968,31.15,50.15,0.5,270.0,-2.01,0.996,0.0058,0.05329,0.99714,31.16102,51.1302,0.5182,318.97541,-1.28572,0.996,0.0061,0.0537,0.9976,31.18,51.2,0.53,370.0,-0.449,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 00:52:05,2026-08-03 01:02:04,488,OPTA,NICLABH1,0.0051,0.053,0.9968,31.14,51.15,0.51,280.0,-1.924,0.996,0.00568,0.05348,0.9971,31.14768,51.17625,0.52887,353.40164,-1.29308,0.996,0.0063,0.054,0.9976,31.16,51.2,0.56,410.0,-0.332,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 01:02:05,2026-08-03 01:12:04,488,OPTA,NICLABH1,0.0051,0.053,0.9968,31.1,51.16,0.52,340.0,-1.955,0.996,0.00556,0.05352,0.99701,31.12189,51.1817,0.54703,393.93443,-1.2769,0.996,0.0059,0.054,0.9973,31.15,52.19,0.57,450.0,-0.053,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 01:12:05,2026-08-03 01:22:03,487,OPTA,NICLABH1,0.0051,0.053,0.9966,31.08,51.15,0.51,280.0,-1.902,0.996,0.00551,0.05338,0.99689,31.09306,51.70651,0.53339,362.15606,-1.27786,0.996,0.0059,0.0537,0.9973,31.11,52.2,0.57,430.0,-0.087,0.996,Motor_apagado,Motor_apagado:487
2026-08-03 01:22:05,2026-08-03 01:32:04,487,OPTA,NICLABH1,0.0051,0.053,0.9966,31.06,51.15,0.5,270.0,-1.87,0.996,0.00551,0.05345,0.9968,31.07253,52.08103,0.51717,312.52567,-1.27854,0.996,0.0059,0.054,0.9971,31.09,52.2,0.53,370.0,-0.217,0.996,Motor_apagado,Motor_apagado:487
2026-08-03 01:32:06,2026-08-03 01:42:04,488,OPTA,NICLABH1,0.0051,0.053,0.9963,31.03,51.15,0.52,320.0,-1.994,0.996,0.00555,0.05336,0.99675,31.04748,51.21844,0.5407,384.91803,-1.30258,0.996,0.0059,0.0537,0.9971,31.07,52.2,0.57,440.0,-0.592,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 01:42:06,2026-08-03 01:52:04,488,OPTA,NICLABH1,0.0051,0.053,0.9963,31.01,51.17,0.48,250.0,-1.986,0.996,0.00551,0.05345,0.99672,31.02984,52.08555,0.53504,363.19672,-1.29383,0.996,0.0059,0.0537,0.9971,31.04,52.2,0.58,490.0,-0.4,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 01:52:06,2026-08-03 02:02:04,488,OPTA,NICLABH1,0.0051,0.0532,0.9963,31.01,52.16,0.53,370.0,-1.941,0.996,0.00549,0.05346,0.99664,31.02836,52.18039,0.56422,436.57787,-1.27544,0.996,0.0059,0.054,0.9971,31.04,52.2,0.58,500.0,-0.447,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 02:02:06,2026-08-03 02:12:05,488,OPTA,NICLABH1,0.0051,0.053,0.9963,30.99,52.16,0.52,320.0,-1.917,0.996,0.0055,0.05346,0.99662,31.00596,52.18016,0.54027,386.80328,-1.29572,0.996,0.0059,0.054,0.9968,31.02,52.21,0.58,480.0,-0.427,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 02:12:07,2026-08-03 02:22:05,487,OPTA,NICLABH1,0.0051,0.053,0.9963,30.97,52.15,0.51,290.0,-1.97,0.996,0.00547,0.05344,0.9966,30.98086,52.17957,0.5337,371.3963,-1.28582,0.996,0.0059,0.054,0.9968,30.99,52.2,0.56,420.0,0.222,0.996,Motor_apagado,Motor_apagado:487
2026-08-03 02:22:07,2026-08-03 02:32:05,488,OPTA,NICLABH1,0.0051,0.0532,0.9963,30.96,52.15,0.52,330.0,-1.874,0.996,0.00557,0.05356,0.99659,30.97621,52.18041,0.54168,390.38934,-1.28229,0.996,0.0059,0.054,0.9968,30.99,52.22,0.56,440.0,-0.145,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 02:32:08,2026-08-03 02:42:05,488,OPTA,NICLABH1,0.0051,0.053,0.9963,30.96,52.16,0.53,370.0,-1.958,0.996,0.00553,0.0535,0.99654,30.97289,52.17889,0.56109,432.64344,-1.27658,0.996,0.0059,0.0537,0.9971,30.99,52.2,0.58,490.0,0.002,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 02:42:08,2026-08-03 02:52:05,488,OPTA,NICLABH1,0.0051,0.0532,0.9961,30.92,52.16,0.51,280.0,-1.955,0.996,0.00551,0.0536,0.99653,30.94855,52.18236,0.54926,407.64344,-1.28528,0.996,0.0059,0.0542,0.9968,30.98,52.21,0.58,500.0,-0.273,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 02:52:08,2026-08-03 03:02:07,488,OPTA,NICLABH1,0.0051,0.0532,0.9961,30.91,52.16,0.53,380.0,-1.933,0.996,0.00552,0.05363,0.99646,30.92143,52.17943,0.56705,452.66393,-1.30566,0.996,0.0059,0.054,0.9968,30.93,52.2,0.59,520.0,-0.293,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 03:02:08,2026-08-03 03:12:07,488,OPTA,NICLABH1,0.0051,0.0532,0.9961,30.89,52.16,0.55,390.0,-1.865,0.996,0.00552,0.0536,0.99644,30.90658,52.20748,0.56566,446.53689,-1.26518,0.996,0.0061,0.054,0.9968,30.93,53.18,0.58,510.0,0.648,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 03:12:09,2026-08-03 03:22:07,488,OPTA,NICLABH1,0.0051,0.0532,0.9961,30.87,52.16,0.51,280.0,-1.85,0.996,0.00559,0.05366,0.99642,30.88359,52.51115,0.54471,390.65574,-1.28009,0.996,0.0061,0.054,0.9968,30.9,53.21,0.58,480.0,-0.46,0.996,Motor_apagado,Motor_apagado:488
2026-08-03 03:22:09,2026-08-03 03:32:07,488,OPTA,NICLABH1,0.0051,0.0532,0.9961,30.85,53.16,0.5,260.0,-1.869,0.996,0.00561,0.05366,0.99639,30.86848,53.18436,0.51664,315.04098,-1.28495,0.996,0.0061,0.054,0.9968,30.88,53.21,0.53,360.0,-0.445,0.996,Motor_apagado,Motor_apagado:488
