time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-27 12:58:37,INMP441 - 2,53.5,Background Noise,48.1,48.1,50.6,0.0,99.6,0.4,0.0,40.1,40.9,51.3,-96,13.0
2026-01-27 12:59:23,INMP441,76.5,People,62.2,61.8,62.3,59.8,18.9,80.1,1.0,57.6,60.2,64.9,-97,12.8
2026-01-27 12:59:37,INMP441 - 2,53.5,Background Noise,48.5,48.4,49.5,0.0,92.1,7.9,0.0,40.2,50.0,51.4,-106,9.3
2026-01-27 13:00:37,INMP441 - 2,52.9,Background Noise,48.3,48.2,50.5,50.3,97.5,2.1,0.4,40.2,41.0,51.4,-95,14.8
2026-01-27 13:01:37,INMP441 - 2,53.5,Background Noise,47.6,47.6,48.7,0.0,99.2,0.8,0.0,40.1,40.8,51.3,-101,13.0
2026-01-27 13:02:39,INMP441 - 2,52.2,Background Noise,47.7,47.7,40.6,0.0,99.6,0.4,0.0,40.2,40.9,51.4,-101,9.8
2026-01-27 13:03:37,INMP441 - 2,53.5,Background Noise,48.0,47.9,51.0,40.5,98.3,1.3,0.4,40.1,40.8,51.4,-98,14.3
2026-01-27 13:04:23,INMP441,73.5,People,61.3,60.7,61.6,62.6,33.7,65.4,0.9,57.7,60.2,63.5,-98,12.5
2026-01-27 13:04:37,INMP441 - 2,53.7,Background Noise,47.9,47.9,0.0,40.3,99.6,0.0,0.4,40.2,40.9,51.2,-100,11.8
2026-01-27 13:05:37,INMP441 - 2,52.6,Background Noise,47.9,47.9,0.0,40.9,99.6,0.0,0.4,40.1,40.9,51.1,-102,11.8
2026-01-27 13:06:37,INMP441 - 2,53.2,Background Noise,47.8,47.8,0.0,0.0,100.0,0.0,0.0,40.1,40.9,51.3,-103,11.8
2026-01-27 13:07:37,INMP441 - 2,53.5,Background Noise,47.6,47.6,0.0,0.0,100.0,0.0,0.0,40.2,40.9,51.1,-103,11.0
2026-01-27 13:08:37,INMP441 - 2,58.5,Background Noise,48.1,48.1,50.8,0.0,99.2,0.8,0.0,40.1,40.9,51.1,-101,12.8
2026-01-27 13:09:23,INMP441,83.0,People,61.0,59.9,61.4,64.4,30.3,68.6,1.2,57.4,59.5,62.0,-99,12.8
2026-01-27 13:09:37,INMP441 - 2,53.6,Background Noise,48.9,48.8,51.7,51.6,99.2,0.4,0.4,40.2,50.2,51.7,-100,13.0
2026-01-27 13:10:37,INMP441 - 2,52.9,Background Noise,48.0,48.0,0.0,0.0,100.0,0.0,0.0,40.1,40.9,51.2,-101,12.5
2026-01-27 13:11:37,INMP441 - 2,53.7,Background Noise,48.1,48.1,0.0,0.0,100.0,0.0,0.0,40.1,40.9,51.2,-100,9.3
2026-01-27 13:12:37,INMP441 - 2,52.6,Background Noise,47.7,47.7,0.0,0.0,100.0,0.0,0.0,40.1,40.8,51.2,-97,12.5
2026-01-27 13:13:37,INMP441 - 2,53.9,Background Noise,47.4,47.4,0.0,0.0,100.0,0.0,0.0,40.1,40.8,51.2,-99,12.3
2026-01-27 13:14:23,INMP441,67.0,People,59.5,59.8,59.4,60.5,20.1,79.6,0.3,57.0,59.1,61.3,-108,5.5
2026-01-27 13:17:18,INMP441 - 2,67.1,People,56.8,49.8,59.4,0.0,51.2,48.7,0.0,40.4,51.9,61.3,-108,6.0
2026-01-27 13:18:18,INMP441 - 2,74.8,People,55.2,50.1,59.4,0.0,70.0,30.0,0.0,40.2,51.2,56.5,-101,11.3
2026-01-27 13:19:04,INMP441,75.9,Background Noise,60.1,62.3,59.9,0.0,4.4,95.6,0.0,57.3,59.3,61.8,-96,12.8
