time,deviceName,latitude,longitude,altitude_m,hdop,sats,battery_V,hour,minute,second,gw_count,min_distance_m,max_distance_m,max_rssi,max_snr,gw1_name,gw1_rssi,gw1_snr,gw2_name,gw2_rssi,gw2_snr,gw3_name,gw3_rssi,gw3_snr,gw4_name,gw4_rssi,gw4_snr,gw5_name,gw5_rssi,gw5_snr,gw6_name,gw6_rssi,gw6_snr,gw7_name,gw7_rssi,gw7_snr,gw8_name,gw8_rssi,gw8_snr,gw9_name,gw9_rssi,gw9_snr,gw10_name,gw10_rssi,gw10_snr
2026-09-03 09:47:50,Alcance,9.024750709533691,-79.53436279296875,,,,3.842,14.0,47.0,49.0,2,30.9,391.2,-91.0,10.8,GatewayEdificio3DobleBanda07,-109,2.0,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-91,10.8,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-109,2.0,GatewayEdificio3DobleBanda815,,
2026-09-03 09:48:20,Alcance,9.02476978302002,-79.53435516357422,,,,3.891,14.0,48.0,20.0,2,33.5,392.4,-95.0,7.5,GatewayEdificio3DobleBanda07,-109,3.2,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-95,7.5,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-109,3.2,GatewayEdificio3DobleBanda815,,
2026-09-03 09:48:50,Alcance,9.024699211120605,-79.53448486328125,,,,3.891,14.0,48.0,50.0,2,39.4,396.0,-93.0,11.0,GatewayEdificio3DobleBanda07,-110,-3.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-93,11.0,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-110,-3.5,GatewayEdificio3DobleBanda815,,
2026-09-03 09:49:20,Alcance,9.024702072143555,-79.53449249267578,,,,3.886,14.0,49.0,20.0,2,40.3,396.8,-93.0,10.8,GatewayEdificio3DobleBanda07,-113,3.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-93,10.8,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-113,3.8,GatewayEdificio3DobleBanda815,,
2026-09-03 09:49:50,Alcance,9.024691581726074,-79.53450775146484,,,,3.891,14.0,49.0,50.0,2,41.2,397.0,-90.0,10.0,GatewayEdificio3DobleBanda07,-108,5.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-90,10.0,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-108,5.5,GatewayEdificio3DobleBanda815,,
2026-09-03 09:50:20,Alcance,9.024685859680176,-79.53450775146484,,,,3.891,14.0,50.0,20.0,2,40.9,396.5,-93.0,10.2,GatewayEdificio3DobleBanda07,-111,6.0,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-93,10.2,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-111,6.0,GatewayEdificio3DobleBanda815,,
2026-09-03 09:50:50,Alcance,9.024672508239746,-79.5345230102539,,,,3.891,14.0,50.0,50.0,2,42.3,397.2,-93.0,11.0,GatewayEdificio3DobleBanda07,-117,-0.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-93,11.0,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-117,-0.8,GatewayEdificio3DobleBanda815,,
2026-09-03 09:51:20,Alcance,9.024670600891113,-79.53451538085938,,,,3.891,14.0,51.0,20.0,2,42.5,396.5,-91.0,8.8,GatewayEdificio3DobleBanda07,-112,0.8,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-91,8.8,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-112,0.8,GatewayEdificio3DobleBanda815,,
2026-09-03 09:51:50,Alcance,9.024693489074707,-79.53450012207031,,,,3.881,14.0,51.0,50.0,2,43.0,397.3,-90.0,9.8,GatewayEdificio3DobleBanda07,-114,1.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-90,9.8,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-114,1.5,GatewayEdificio3DobleBanda815,,
2026-09-03 09:52:20,Alcance,9.024703025817871,-79.53449249267578,,,,3.871,14.0,52.0,20.0,2,42.8,397.6,-93.0,11.2,GatewayEdificio3DobleBanda07,-112,2.5,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-93,11.2,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,-112,2.5,GatewayEdificio3DobleBanda815,,
2026-09-03 09:52:50,Alcance,9.024703979492188,-79.53449249267578,,,,3.881,14.0,52.0,50.0,1,42.8,42.8,-93.0,9.0,GatewayEdificio3DobleBanda07,,,GatewayFacilidades,,,GatewayEdificio3,,,GatewayOficina,,,GatewayFacilidadesDobleBanda07,,,GatewayFacilidadesDobleBanda815,,,GatewayELIIDobleBanda07,-93,9.0,GatewayELIIDobleBanda815,,,GatewayEdificio3DobleBanda07,,,GatewayEdificio3DobleBanda815,,
