time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-01T00:00:18.258969416+00:00,NodoTest,23.77,63.16,1005.0,16.0,-74,14.0
2025-09-01T00:01:18.404183751+00:00,NodoTest,23.79,63.14,1005.0,18.0,-73,13.8
2025-09-01T00:02:18.565065456+00:00,NodoTest,23.8,63.25,1005.0,14.0,-73,14.0
2025-09-01T00:03:18.663095976+00:00,NodoTest,23.77,62.89,1005.0,14.0,-73,10.0
2025-09-01T00:04:18.726788088+00:00,NodoTest,23.69,63.34,1005.0,14.0,-74,13.8
2025-09-01T00:05:18.881296052+00:00,NodoTest,23.72,63.13,1005.0,14.0,-75,13.8
2025-09-01T00:06:18.996880368+00:00,NodoTest,23.7,63.15,1005.0,16.0,-74,14.0
2025-09-01T00:07:19.126758147+00:00,NodoTest,23.72,63.19,1005.0,12.0,-73,14.0
2025-09-01T00:08:19.291940704+00:00,NodoTest,23.72,63.1,1005.0,10.0,-74,13.8
2025-09-01T00:09:19.470725872+00:00,NodoTest,23.75,63.06,1005.0,16.0,-75,13.8
2025-09-01T00:10:19.604267595+00:00,NodoTest,23.69,63.27,1005.0,12.0,-74,13.5
2025-09-01T00:11:19.765283078+00:00,NodoTest,23.73,63.2,1005.0,16.0,-73,10.3
2025-09-01T00:12:19.875004727+00:00,NodoTest,23.7,63.03,1005.0,14.0,-73,13.5
2025-09-01T00:13:20.014525617+00:00,NodoTest,23.75,63.07,1005.0,10.0,-75,13.8
2025-09-01T00:14:20.189509452+00:00,NodoTest,23.74,63.14,1005.0,14.0,-74,13.5
2025-09-01T00:15:20.313841712+00:00,NodoTest,23.75,62.89,1005.0,16.0,-74,13.8
2025-09-01T00:16:20.469906139+00:00,NodoTest,23.71,62.69,1005.0,16.0,-73,13.5
2025-09-01T00:17:20.549919066+00:00,NodoTest,23.62,62.95,1005.0,12.0,-75,13.8
2025-09-01T00:18:20.729289901+00:00,NodoTest,23.71,63.13,1005.0,14.0,-75,13.8
2025-09-01T00:19:20.822661180+00:00,NodoTest,23.71,63.13,1005.0,14.0,-74,11.5
2025-09-01T00:20:20.936025403+00:00,NodoTest,23.64,63.26,1005.0,16.0,-73,13.8
2025-09-01T00:21:21.070799423+00:00,NodoTest,23.72,63.24,1005.0,16.0,-74,13.5
2025-09-01T00:22:21.174490665+00:00,NodoTest,23.69,63.25,1005.0,14.0,-74,13.3
2025-09-01T00:23:21.274049499+00:00,NodoTest,23.71,62.95,1005.0,16.0,-73,14.0
2025-09-01T00:24:21.448053945+00:00,NodoTest,23.69,62.78,1005.0,18.0,-75,13.3
2025-09-01T00:25:21.592146465+00:00,NodoTest,23.65,62.72,1005.0,16.0,-74,13.8
2025-09-01T00:26:21.743164040+00:00,NodoTest,23.65,62.58,1005.0,16.0,-74,13.5
2025-09-01T00:27:21.919655486+00:00,NodoTest,23.64,62.56,1005.0,14.0,-74,13.5
2025-09-01T00:28:22.049234376+00:00,NodoTest,23.69,62.77,1005.0,14.0,-75,13.3
2025-09-01T00:29:22.184581247+00:00,NodoTest,23.65,62.67,1005.0,14.0,-73,10.5
2025-09-01T00:30:22.265091508+00:00,NodoTest,23.68,62.56,1005.0,14.0,-73,13.5
2025-09-01T00:31:22.410237898+00:00,NodoTest,23.65,62.56,1005.0,14.0,-73,13.5
2025-09-01T00:32:22.578199843+00:00,NodoTest,23.61,62.65,1005.0,12.0,-74,13.5
2025-09-01T00:33:22.705930030+00:00,NodoTest,23.65,62.63,1005.0,12.0,-74,13.8
2025-09-01T00:34:22.846513550+00:00,NodoTest,23.61,62.77,1005.0,12.0,-74,13.8
2025-09-01T00:35:23.001557403+00:00,NodoTest,23.66,62.7,1005.0,12.0,-73,10.8
2025-09-01T00:36:23.131198774+00:00,NodoTest,23.65,62.51,1005.0,16.0,-75,13.8
2025-09-01T00:37:23.269849868+00:00,NodoTest,23.56,62.65,1005.0,16.0,-75,14.0
2025-09-01T00:38:23.393408925+00:00,NodoTest,23.6,62.76,1005.0,12.0,-73,13.5
2025-09-01T00:39:23.496181944+00:00,NodoTest,23.66,62.8,1005.0,14.0,-74,13.8
2025-09-01T00:40:23.637544797+00:00,NodoTest,23.6,62.89,1005.0,14.0,-74,13.5
2025-09-01T00:41:23.731688558+00:00,NodoTest,23.65,62.77,1005.0,18.0,-74,11.3
2025-09-01T00:42:23.876644022+00:00,NodoTest,23.62,62.82,1006.0,16.0,-73,13.5
2025-09-01T00:43:24.049571357+00:00,NodoTest,23.64,62.7,1006.0,12.0,-73,13.8
2025-09-01T00:44:24.195649395+00:00,NodoTest,23.59,62.76,1006.0,10.0,-75,13.8
2025-09-01T00:45:24.381703692+00:00,NodoTest,23.65,62.62,1006.0,18.0,-75,13.8
2025-09-01T00:46:24.557371712+00:00,NodoTest,23.6,62.62,1006.0,10.0,-74,13.8
2025-09-01T00:47:24.710597343+00:00,NodoTest,23.58,62.7,1006.0,14.0,-74,14.0
2025-09-01T00:48:24.839858196+00:00,NodoTest,23.56,62.68,1006.0,12.0,-73,13.5
2025-09-01T00:49:24.965349864+00:00,NodoTest,23.57,62.75,1006.0,10.0,-73,13.8
2025-09-01T00:50:25.084651291+00:00,NodoTest,23.54,62.61,1006.0,16.0,-75,13.5
2025-09-01T00:51:25.197056533+00:00,NodoTest,23.53,62.59,1006.0,10.0,-64,10.8
2025-09-01T00:52:25.373249978+00:00,NodoTest,23.52,62.72,1006.0,10.0,-75,13.5
2025-09-01T00:53:25.502445054+00:00,NodoTest,23.58,62.64,1006.0,14.0,-74,13.8
2025-09-01T00:54:25.587952851+00:00,NodoTest,23.52,62.99,1006.0,14.0,-74,13.5
2025-09-01T00:55:25.709804723+00:00,NodoTest,23.58,63.01,1006.0,16.0,-74,13.5
2025-09-01T00:56:25.866505742+00:00,NodoTest,23.52,62.91,1006.0,18.0,-73,11.0
2025-09-01T00:57:26.020660558+00:00,NodoTest,23.56,62.8,1006.0,12.0,-74,13.5
