time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-01-26 00:00:45,Panel,24.76,62.83,1005.0,1618.0,0,-44,14.0
2026-01-26 00:01:45,Panel,24.75,62.89,1005.0,1612.0,0,-45,13.3
2026-01-26 00:02:45,Panel,24.74,63.03,1005.0,1616.0,0,-44,13.8
2026-01-26 00:02:55,NODO 1.19,24.14,76.74,1008.0,3704.0,0,-94,13.5
2026-01-26 00:03:45,Panel,24.73,62.95,1005.0,1616.0,0,-44,14.0
2026-01-26 00:04:45,Panel,24.72,62.87,1005.0,1612.0,0,-45,10.5
2026-01-26 00:05:19,NODO 1.29,25.01,79.86,1007.0,2538.0,0,-97,12.8
2026-01-26 00:05:35,NODO 1.25,23.4,85.93,1008.0,3680.0,0,-111,4.3
2026-01-26 00:05:46,Panel,24.71,62.87,1005.0,1612.0,0,-45,14.0
2026-01-26 00:05:47,NODO 1.9,25.47,76.97,1008.0,3680.0,0,-101,9.8
2026-01-26 00:05:55,NODO 1.14,26.06,77.68,1008.0,3636.0,0,-86,11.5
