time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-01-27 12:31:50,NODO 1.18,33.79,58.7,1008.0,3469.0,0,-93,13.8
2026-01-27 12:33:13,NODO 1.22,33.05,49.55,1007.0,3690.0,0,-98,12.8
2026-01-27 12:34:00,NODO 1.29,31.69,54.63,1007.0,3994.0,0,-98,12.8
2026-01-27 12:36:08,NODO 1.26,31.67,56.29,1009.0,3915.0,0,-111,2.5
2026-01-27 12:36:49,NODO 1.10,31.93,54.55,1009.0,3651.0,0,-89,13.5
2026-01-27 12:37:21,NODO 1.3,31.77,53.47,1008.0,3126.0,0,-100,12.3
2026-01-27 12:37:42,NODO 1.11,29.92,60.22,1007.0,3749.0,0,-97,12.5
2026-01-27 12:42:57,NODO 1.30,31.5,54.13,1008.0,3729.0,0,-110,5.3
2026-01-27 12:43:28,NODO 1.20,31.3,61.28,1009.0,3626.0,0,-110,5.0
2026-01-27 12:43:42,NODO 1.23,24.86,41.3,1006.0,3670.0,0,-114,0.5
2026-01-27 12:45:08,NODO 1.21,31.03,52.36,1008.0,3984.0,0,-114,-0.5
2026-01-27 12:46:02,NODO 1.13,32.96,50.63,1008.0,3651.0,0,-113,1.5
2026-01-27 12:46:05,NODO 1.15,41.85,40.27,1008.0,3915.0,0,-116,-6.5
2026-01-27 12:48:54,NODO 1.24,42.41,29.15,1008.0,3626.0,0,-116,-2.8
2026-01-27 12:49:13,NODO 1.8,35.25,51.63,1007.0,3690.0,0,-107,8.5
