time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-01-27 12:58:34,NODO 1.31,31.03,55.98,1008.0,3606.0,15.6,-115,-1.3
2026-01-27 12:58:44,NODO 1.5,34.27,45.91,1007.0,3989.0,81.2,-103,10.8
2026-01-27 12:59:47,NODO 1.9,42.76,28.15,1008.0,3675.0,0,-101,11.3
2026-01-27 13:01:11,NODO 1.18,35.07,55.23,1007.0,3469.0,0,-94,13.3
2026-01-27 13:02:34,NODO 1.22,34.09,47.96,1007.0,3680.0,0,-92,13.8
2026-01-27 13:03:19,NODO 1.29,31.82,52.58,1007.0,3994.0,0,-102,11.3
2026-01-27 13:05:26,NODO 1.26,32.06,55.42,1008.0,3915.0,0,-108,7.5
2026-01-27 13:06:06,NODO 1.10,32.4,53.33,1008.0,3651.0,0,-87,11.3
2026-01-27 13:06:41,NODO 1.3,32.06,52.23,1008.0,3116.0,0,-112,0.5
2026-01-27 13:07:00,NODO 1.11,30.58,58.2,1006.0,3749.0,0,-96,12.8
