time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-27 00:00:22,INMP441,54.7,Background Noise,49.1,49.1,51.0,0.0,99.2,0.8,0.0,40.2,50.2,52.1,-115,-1.8
2026-01-27 00:05:22,INMP441,54.4,Background Noise,48.8,48.8,49.2,0.0,98.6,1.4,0.0,40.2,50.1,51.9,-107,8.0
2026-01-27 00:10:22,INMP441,55.1,Background Noise,49.1,49.1,50.6,0.0,99.2,0.8,0.0,40.2,50.2,52.0,-115,-6.5
2026-01-27 00:15:22,INMP441,54.2,Background Noise,48.9,48.9,48.8,0.0,98.5,1.5,0.0,40.2,50.1,51.9,-110,5.0
2026-01-27 00:20:22,INMP441,54.4,Background Noise,48.9,48.9,40.6,0.0,99.9,0.1,0.0,40.2,50.1,52.0,-112,3.3
2026-01-27 00:25:22,INMP441,55.1,Background Noise,49.1,49.1,49.3,0.0,98.6,1.4,0.0,40.2,50.2,52.1,-113,1.3
2026-01-27 00:30:23,INMP441,55.3,Background Noise,49.1,49.1,51.1,0.0,99.8,0.3,0.0,40.2,50.2,51.9,-112,2.8
2026-01-27 00:35:23,INMP441,54.7,Background Noise,49.0,49.0,40.4,0.0,99.8,0.2,0.0,40.2,50.2,52.0,-106,8.8
2026-01-27 00:40:23,INMP441,54.6,Background Noise,48.8,48.8,48.9,0.0,99.2,0.8,0.0,40.2,50.1,52.0,-113,2.3
2026-01-27 00:45:23,INMP441,56.2,Background Noise,48.7,48.7,47.6,0.0,99.7,0.3,0.0,40.2,50.1,51.9,-107,8.0
2026-01-27 00:50:23,INMP441,55.1,Background Noise,49.0,49.0,49.2,0.0,98.6,1.4,0.0,40.2,50.2,52.0,-113,2.3
2026-01-27 00:55:23,INMP441,54.2,Background Noise,49.1,49.1,48.4,0.0,99.3,0.7,0.0,40.2,50.2,52.0,-110,5.3
2026-01-27 01:00:23,INMP441,54.4,Background Noise,48.8,48.8,49.5,0.0,99.2,0.8,0.0,40.2,50.1,52.1,-113,3.0
2026-01-27 01:05:23,INMP441,54.9,Background Noise,48.9,48.9,49.4,0.0,99.6,0.4,0.0,40.2,50.1,52.0,-114,-4.5
2026-01-27 01:10:24,INMP441,54.9,Background Noise,49.1,49.1,48.1,0.0,99.2,0.8,0.0,40.2,50.3,51.9,-114,-2.0
2026-01-27 01:15:24,INMP441,55.0,Background Noise,48.7,48.7,48.4,0.0,99.0,1.0,0.0,40.2,50.1,51.8,-108,7.5
2026-01-27 01:20:24,INMP441,55.2,Background Noise,49.3,49.3,0.0,0.0,100.0,0.0,0.0,40.2,50.3,52.1,-106,9.0
2026-01-27 01:25:24,INMP441,54.7,Background Noise,49.0,49.0,48.4,0.0,99.6,0.4,0.0,40.2,50.2,52.1,-113,2.8
2026-01-27 01:30:24,INMP441,55.6,Background Noise,48.9,48.9,46.2,0.0,99.8,0.3,0.0,40.2,50.1,52.0,-114,1.0
2026-01-27 01:35:24,INMP441,54.6,Background Noise,49.1,49.1,50.3,0.0,99.5,0.5,0.0,40.2,50.3,51.9,-115,-1.3
2026-01-27 01:40:24,INMP441,54.9,Background Noise,48.9,48.9,48.3,0.0,99.6,0.4,0.0,40.2,50.1,52.0,-110,4.8
2026-01-27 01:45:24,INMP441,55.0,Background Noise,48.9,48.9,51.0,0.0,99.7,0.3,0.0,40.2,50.1,52.1,-114,0.3
2026-01-27 01:50:25,INMP441,54.5,Background Noise,48.8,48.8,50.9,0.0,99.9,0.1,0.0,40.2,50.1,52.0,-116,-2.3
2026-01-27 01:55:25,INMP441,54.2,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.3,51.9,-107,8.0
2026-01-27 02:00:25,INMP441,54.6,Background Noise,48.9,48.9,50.4,0.0,99.8,0.3,0.0,40.2,50.2,51.9,-113,0.8
2026-01-27 02:05:25,INMP441,54.7,Background Noise,48.6,48.6,0.0,0.0,100.0,0.0,0.0,40.2,50.0,51.7,-106,8.8
2026-01-27 02:10:25,INMP441,54.6,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.2,52.2,-115,-0.5
2026-01-27 02:15:25,INMP441,54.4,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.3,51.9,-117,-8.3
2026-01-27 02:20:25,INMP441,55.0,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.1,52.0,-113,1.8
2026-01-27 02:25:25,INMP441,54.3,Background Noise,48.8,48.8,0.0,0.0,100.0,0.0,0.0,40.2,50.1,51.9,-109,5.0
2026-01-27 02:30:26,INMP441,54.6,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.2,52.0,-113,2.0
2026-01-27 02:35:26,INMP441,54.5,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.2,52.0,-106,8.0
2026-01-27 02:40:26,INMP441,54.8,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.2,51.9,-109,3.8
2026-01-27 02:45:26,INMP441,55.3,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.1,52.1,-114,-1.0
2026-01-27 02:50:26,INMP441,55.1,People,48.9,48.9,51.6,0.0,99.4,0.6,0.0,40.2,50.1,51.9,-115,-1.0
2026-01-27 02:55:26,INMP441,54.7,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.2,51.9,-116,-6.5
2026-01-27 03:00:26,INMP441,55.1,Background Noise,48.9,48.9,0.0,0.0,100.0,0.0,0.0,40.2,50.1,52.0,-113,2.3
2026-01-27 03:05:26,INMP441,54.3,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.1,51.9,-107,7.8
2026-01-27 03:10:27,INMP441,54.4,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.2,52.0,-114,0.3
2026-01-27 03:15:27,INMP441,54.8,Background Noise,49.3,49.3,0.0,0.0,100.0,0.0,0.0,40.3,50.2,52.0,-108,7.0
2026-01-27 03:20:27,INMP441,54.9,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.1,52.0,-115,-2.8
2026-01-27 03:25:27,INMP441,55.3,Background Noise,48.9,48.9,48.8,40.5,99.6,0.2,0.2,40.2,50.1,51.9,-114,1.5
2026-01-27 03:30:27,INMP441,54.8,Background Noise,48.9,48.9,50.8,0.0,99.9,0.1,0.0,40.2,50.1,52.0,-116,-3.3
2026-01-27 03:35:27,INMP441,54.4,Background Noise,49.0,49.0,0.0,0.0,100.0,0.0,0.0,40.2,50.1,52.0,-109,2.5
2026-01-27 03:40:27,INMP441,55.0,Background Noise,48.8,48.8,0.0,0.0,100.0,0.0,0.0,40.2,50.1,51.8,-115,-0.5
2026-01-27 03:45:28,INMP441,55.1,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.3,50.2,52.0,-116,-2.3
2026-01-27 03:50:28,INMP441,55.0,Background Noise,48.9,48.9,0.0,0.0,100.0,0.0,0.0,40.1,50.1,52.0,-107,7.8
2026-01-27 03:55:28,INMP441,55.2,Background Noise,49.1,49.1,0.0,0.0,100.0,0.0,0.0,40.2,50.2,51.9,-107,7.8
2026-01-27 04:00:28,INMP441,64.8,People,57.3,52.5,59.0,0.0,41.6,58.4,0.0,40.6,57.3,60.4,-113,1.8
2026-01-27 04:05:28,INMP441,63.2,Background Noise,58.9,59.3,58.9,0.0,6.5,93.5,0.0,56.4,58.7,60.8,-106,8.5
2026-01-27 04:10:28,INMP441,63.6,Background Noise,59.0,59.3,59.0,0.0,8.6,91.4,0.0,56.4,58.7,60.8,-116,-2.0
2026-01-27 04:15:28,INMP441,64.7,People,59.0,59.4,59.0,0.0,8.4,91.6,0.0,56.6,58.7,60.7,-115,-2.3
2026-01-27 04:20:28,INMP441,63.4,People,59.1,59.2,59.1,58.2,5.3,94.6,0.1,56.7,58.8,60.8,-112,2.8
2026-01-27 04:25:29,INMP441,63.0,People,59.2,59.0,59.2,0.0,4.7,95.3,0.0,56.7,58.8,61.1,-114,-0.5
2026-01-27 04:30:29,INMP441,64.1,Background Noise,59.2,59.7,59.2,0.0,5.0,95.0,0.0,56.8,58.9,61.0,-110,5.5
2026-01-27 04:35:29,INMP441,63.8,People,59.2,59.1,59.2,0.0,4.6,95.4,0.0,56.9,59.0,60.9,-108,7.0
2026-01-27 04:40:29,INMP441,64.0,People,59.3,59.3,59.3,0.0,3.1,96.9,0.0,57.0,59.1,61.0,-112,2.8
2026-01-27 04:50:29,INMP441,63.5,People,59.3,60.0,59.3,0.0,1.7,98.3,0.0,56.9,59.0,61.1,-115,-2.3
2026-01-27 04:55:29,INMP441,80.0,Background Noise,60.1,64.4,59.4,71.0,8.3,91.6,0.1,57.0,59.2,61.2,-109,4.8
2026-01-27 05:00:29,INMP441,63.5,People,59.3,59.6,59.3,0.0,2.7,97.3,0.0,56.9,59.0,61.0,-115,-2.3
2026-01-27 05:05:29,INMP441,63.5,Background Noise,59.3,60.1,59.3,0.0,1.4,98.6,0.0,56.8,59.1,61.1,-106,8.8
2026-01-27 05:10:30,INMP441,63.9,People,59.3,59.2,59.3,0.0,1.7,98.3,0.0,56.9,59.0,60.9,-114,1.3
