time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-27 12:32:15,INMP441 - 2,58.1,People,50.4,48.8,52.1,0.0,61.4,38.6,0.0,40.3,50.4,53.5,-101,11.8
2026-01-27 12:33:15,INMP441 - 2,62.4,People,52.6,49.1,55.2,0.0,59.2,40.8,0.0,40.3,50.9,55.7,-98,10.8
2026-01-27 12:34:15,INMP441 - 2,63.4,People,51.7,49.2,53.7,0.0,56.7,43.3,0.0,40.3,50.8,54.8,-101,11.3
2026-01-27 12:35:01,INMP441,65.3,People,59.5,59.8,59.5,0.0,2.5,97.5,0.0,56.9,59.2,61.4,-104,8.5
2026-01-27 12:35:15,INMP441 - 2,61.4,People,52.0,49.8,52.9,51.3,37.1,62.1,0.8,40.6,51.2,55.1,-98,10.8
2026-01-27 12:36:15,INMP441 - 2,58.4,People,50.9,48.7,52.6,0.0,54.4,45.6,0.0,40.3,50.7,53.9,-100,11.8
2026-01-27 12:37:15,INMP441 - 2,61.4,People,52.3,49.6,54.0,40.1,51.2,48.3,0.4,40.4,51.2,55.2,-98,12.8
2026-01-27 12:38:15,INMP441 - 2,66.2,People,51.6,49.1,55.7,52.7,77.5,22.1,0.4,40.1,50.5,54.2,-101,11.3
2026-01-27 12:40:55,INMP441 - 2,58.4,People,49.8,48.2,52.2,52.4,71.8,22.0,6.2,40.2,50.2,52.7,-101,11.3
2026-01-27 12:41:55,INMP441 - 2,59.1,People,49.6,48.4,53.3,52.3,83.3,12.5,4.2,40.2,50.3,52.3,-93,13.3
2026-01-27 12:42:55,INMP441 - 2,53.3,Background Noise,48.4,48.4,0.0,0.0,100.0,0.0,0.0,40.2,50.1,51.3,-113,2.0
2026-01-27 12:43:55,INMP441 - 2,58.3,Background Noise,48.2,48.2,50.9,0.0,99.6,0.4,0.0,40.1,40.9,51.4,-98,11.0
2026-01-27 12:44:42,INMP441,71.0,People,60.9,59.4,61.0,0.0,7.5,92.5,0.0,57.5,60.1,63.0,-105,9.5
